subject,key,H,UD,DD
rakshith,h,0.11,0.125,0.235
rakshith,e,0.094,0.312,0.406
rakshith,e,0.062,0.859,0.921
rakshith,e,0.078,0.469,0.547
rakshith,e,0.062,0.688,0.75
rakshith,l,0.141,0.297,0.438
rakshith,o,0.062,0.078,0.14
rakshith,o,0.078,5.438,5.516
rakshith,o,0.078,1.016,1.094
rakshith,o,0.11,0.265,0.375
rakshith,o,0.109,0.719,0.828
rakshith,m,0.078,0.218,0.296
rakshith,m,0.078,0.438,0.516
rakshith,m,0.094,0.172,0.266
rakshith,m,0.078,1.157,1.235
rakshith,y,0.079,0.328,0.407
rakshith,A,0.094,0.171,0.265
rakshith,A,0.079,0.125,0.204
rakshith,A,0.093,0.703,0.796
rakshith,A,0.125,4.203,4.328
rakshith,A,0.078,7.063,7.141
rakshith,A,0.093,5.141,5.234
rakshith,A,0.078,4.718,4.796
rakshith,A,0.094,3.812,3.906
rakshith,A,0.078,2.922,3.0
rakshith,A,0.062,3.407,3.469
rakshith,A,0.109,1.063,1.172
rakshith,A,0.109,2.172,2.281
rakshith,A,0.156,0.0,0.156
rakshith,A,0.172,0.0,0.172
rakshith,A,0.031,0.016,0.047
rakshith,A,0.031,0.031,0.062
rakshith,A,0.093,0.078,0.171
rakshith,A,0.109,0.016,0.125
rakshith,A,0.094,0.203,0.297
rakshith,A,0.094,0.0,0.094
rakshith,A,0.109,0.282,0.391
rakshith,A,0.078,0.156,0.234
rakshith,A,0.171,0.032,0.203
rakshith,a,0.11,0.094,0.204
rakshith,a,0.125,2.766,2.891
rakshith,a,0.094,0.078,0.172
rakshith,a,0.11,5.734,5.844
rakshith,1,0.125,0.172,0.297
rakshith,1,0.094,0.156,0.25
rakshith,1,0.11,0.156,0.266
rakshith,1,0.219,0.016,0.235
rakshith,1,0.125,0.0,0.125
rakshith,1,0.156,0.204,0.36
rakshith,1,0.14,0.063,0.203
rakshith,1,0.078,0.235,0.313
rakshith,2,0.109,0.204,0.313
rakshith,2,0.078,0.188,0.266
rakshith,2,0.094,0.14,0.234
rakshith,2,0.156,0.063,0.219
rakshith,2,0.14,0.016,0.156
rakshith,2,0.109,0.032,0.141
rakshith,2,0.172,0.0,0.172
rakshith,2,0.078,0.063,0.141
rakshith,2,0.125,0.0,0.125
rakshith,2,0.11,0.359,0.469
rakshith,2,0.156,0.0,0.156
rakshith,2,0.109,0.563,0.672
rakshith,2,0.094,0.25,0.344
rakshith,3,0.109,0.234,0.343
rakshith,3,0.094,0.187,0.281
rakshith,3,0.094,0.953,1.047
rakshith,3,0.094,0.031,0.125
rakshith,3,0.157,0.046,0.203
rakshith,3,0.156,0.094,0.25
rakshith,3,0.141,0.016,0.157
rakshith,3,0.125,0.0,0.125
rakshith,3,0.11,0.0,0.11
rakshith,3,0.078,0.468,0.546
rakshith,i,0.078,0.578,0.656
rakshith,i,0.11,0.14,0.25
rakshith,i,0.109,0.25,0.359
rakshith,i,0.109,0.391,0.5
rakshith,i,0.14,0.344,0.484
rakshith,s,0.062,7.656,7.718
rakshith,s,0.11,1.047,1.157
rakshith,d,0.094,0.062,0.156
rakshith,d,0.11,0.031,0.141
rakshith,t,0.109,0.0,0.109
rakshith,t,0.094,0.015,0.109
rakshith,t,0.094,0.593,0.687
rakshith,t,0.109,0.828,0.937
rakshith,c,0.094,0.25,0.344
rakshith,c,0.078,0.328,0.406
rakshith,9,0.125,0.203,0.328
rakshith,9,0.141,0.062,0.203
rakshith,9,0.079,0.218,0.297
rakshith,9,0.156,0.016,0.172
rakshith,9,0.047,0.031,0.078
rakshith,9,0.0,0.031,0.031
rakshith,9,0.063,1.734,1.797
rakshith,9,0.094,4.875,4.969
rakshith,9,0.093,2.141,2.234
rakshith,8,0.125,0.0,0.125
rakshith,8,0.141,0.047,0.188
rakshith,8,0.094,0.047,0.141
rakshith,8,0.094,0.203,0.297
rakshith,4,0.094,0.344,0.438
rakshith,4,0.094,1.047,1.141
rakshith,4,0.141,0.125,0.266
rakshith,4,0.125,0.0,0.125
rakshith,4,0.11,0.203,0.313
rakshith,5,0.078,0.406,0.484
rakshith,5,0.094,0.172,0.266
rakshith,5,0.094,0.625,0.719
rakshith,5,0.093,0.5,0.593
rakshith,5,0.094,0.125,0.219
